"","x"
"991","SPAPB8E5.06c"
"992","SPAPB8E5.07c"
"993","SPAPB8E5.09"
"994","SPAPJ691.02"
"995","SPAPJ696.01c"
"996","SPAPJ696.02"
"997","SPAPJ698.02c"
"998","SPAPJ698.03c"
"999","SPAPJ760.02c"
"1000","SPAPYUG7.04c"
"1001","SPAPYUG7.05"
"1002","SPAPYUK71.03c"
"1003","SPBC106.04"
"1004","SPBC106.05c"
"1005","SPBC106.06"
"1006","SPBC106.10"
"1007","SPBC106.12c"
"1008","SPBC106.13"
"1009","SPBC106.14c"
"1010","SPBC106.15"
"1011","SPBC106.16"
"1012","SPBC106.18"
"1013","SPBC106.20"
"1014","SPBC1105.01"
"1015","SPBC1105.02c"
"1016","SPBC1105.09"
"1017","SPBC115.01c"
"1018","SPBC115.02c"
"1019","SPBC115.03"
"1020","SPBC119.01"
"1021","SPBC119.02"
"1022","SPBC119.03"
"1023","SPBC119.06"
"1024","SPBC119.08"
"1025","SPBC119.10"
"1026","SPBC119.12"
"1027","SPBC119.15"
"1028","SPBC119.16c"
"1029","SPBC119.17"
"1030","SPBC119.18"
"1031","SPBC1198.02"
"1032","SPBC1198.05"
"1033","SPBC1198.07c"
"1034","SPBC1198.08"
"1035","SPBC1198.13c"
"1036","SPBC11B10.01"
"1037","SPBC11B10.02c"
"1038","SPBC11B10.07c"
"1039","SPBC11B10.09"
"1040","SPBC11C11.02"
"1041","SPBC11C11.06c"
"1042","SPBC11C11.07"
"1043","SPBC11C11.08"
"1044","SPBC11C11.10"
"1045","SPBC11G11.01"
"1046","SPBC11G11.02c"
"1047","SPBC11G11.03"
"1048","SPBC11G11.05"
"1049","SPBC11G11.07"
"1050","SPBC1215.01"
"1051","SPBC1215.02c"
"1052","SPBC1271.02"
"1053","SPBC1271.04c"
"1054","SPBC1271.07c"
"1055","SPBC1271.10c"
"1056","SPBC1271.12"
"1057","SPBC1271.13"
"1058","SPBC1289.01c"
"1059","SPBC1289.04c"
"1060","SPBC1289.05c"
"1061","SPBC1289.06c"
"1062","SPBC1289.07c"
"1063","SPBC1289.08"
"1064","SPBC1289.09"
"1065","SPBC1289.11"
"1066","SPBC1289.12"
"1067","SPBC1289.13c"
"1068","SPBC1289.14"
"1069","SPBC1289.16c"
"1070","SPBC12C2.03c"
"1071","SPBC12C2.04"
"1072","SPBC12C2.05c"
"1073","SPBC12C2.06"
"1074","SPBC12C2.07c"
"1075","SPBC12C2.08"
"1076","SPBC12C2.10c"
"1077","SPBC12C2.11"
"1078","SPBC12C2.12c"
"1079","SPBC12C2.13c"
"1080","SPBC12D12.03"
"1081","SPBC12D12.04c"
"1082","SPBC12D12.07c"
"1083","SPBC1306.01c"
"1084","SPBC1347.02"
"1085","SPBC1347.04"
"1086","SPBC1347.05c"
"1087","SPBC1347.07"
"1088","SPBC1347.09"
"1089","SPBC13A2.02"
"1090","SPBC13A2.03"
"1091","SPBC13E7.01"
"1092","SPBC13E7.02"
"1093","SPBC13E7.04"
"1094","SPBC13E7.07"
"1095","SPBC13E7.08c"
"1096","SPBC13G1.01c"
"1097","SPBC13G1.02"
"1098","SPBC13G1.04c"
"1099","SPBC13G1.06c"
"1100","SPBC13G1.09"
"1101","SPBC13G1.10c"
"1102","SPBC13G1.11"
"1103","SPBC146.03c"
"1104","SPBC146.08c"
"1105","SPBC146.12"
"1106","SPBC146.13c"
"1107","SPBC146.14c"
"1108","SPBC14C8.02"
"1109","SPBC14C8.03"
"1110","SPBC14C8.04"
"1111","SPBC14C8.06"
"1112","SPBC14C8.12"
"1113","SPBC14C8.14c"
"1114","SPBC14C8.15"
"1115","SPBC14C8.16c"
"1116","SPBC14F5.03c"
"1117","SPBC14F5.05c"
"1118","SPBC14F5.06"
"1119","SPBC14F5.07"
"1120","SPBC14F5.09c"
"1121","SPBC14F5.11c"
"1122","SPBC14F5.12c"
"1123","SPBC14F5.13c"
"1124","SPBC1539.01c"
"1125","SPBC1539.03c"
"1126","SPBC1539.04"
"1127","SPBC1539.05"
"1128","SPBC1539.06"
"1129","SPBC1539.07c"
"1130","SPBC1539.09c"
"1131","SPBC1539.10"
"1132","SPBC15C4.01c"
"1133","SPBC15C4.04c"
"1134","SPBC15D4.09c"
"1135","SPBC15D4.14"
"1136","SPBC15D4.15"
"1137","SPBC1604.03c"
"1138","SPBC1604.04"
"1139","SPBC1604.05"
"1140","SPBC1604.06c"
"1141","SPBC1604.07"
"1142","SPBC1604.08c"
"1143","SPBC1604.10"
"1144","SPBC1604.11"
"1145","SPBC1604.12"
"1146","SPBC1604.14c"
"1147","SPBC1604.21c"
"1148","SPBC1604.25"
"1149","SPBC1652.02"
"1150","SPBC1677.03c"
"1151","SPBC1683.01"
"1152","SPBC1683.03c"
"1153","SPBC1683.06c"
"1154","SPBC1683.08"
"1155","SPBC1683.10c"
"1156","SPBC1685.02c"
"1157","SPBC1685.03"
"1158","SPBC1685.10"
"1159","SPBC1685.13"
"1160","SPBC1685.14c"
"1161","SPBC16A3.01"
"1162","SPBC16A3.02c"
"1163","SPBC16A3.04"
"1164","SPBC16A3.05c"
"1165","SPBC16A3.08c"
"1166","SPBC16A3.09c"
"1167","SPBC16A3.12c"
"1168","SPBC16A3.15c"
"1169","SPBC16A3.18"
"1170","SPBC16C6.02c"
"1171","SPBC16C6.05"
"1172","SPBC16C6.06"
"1173","SPBC16C6.07c"
"1174","SPBC16C6.08c"
"1175","SPBC16C6.09"
"1176","SPBC16C6.11"
"1177","SPBC16C6.13c"
"1178","SPBC16D10.08c"
"1179","SPBC16D10.09"
"1180","SPBC16D10.10"
"1181","SPBC16E9.02c"
"1182","SPBC16E9.05"
"1183","SPBC16E9.06c"
"1184","SPBC16E9.09c"
"1185","SPBC16E9.10c"
"1186","SPBC16E9.11c"
"1187","SPBC16E9.12c"
"1188","SPBC16E9.13"
"1189","SPBC16G5.01"
"1190","SPBC16G5.02c"
"1191","SPBC16G5.03"
"1192","SPBC16G5.05c"
"1193","SPBC16G5.07c"
"1194","SPBC16G5.08"
"1195","SPBC16G5.09"
"1196","SPBC16G5.10"
"1197","SPBC16G5.14c"
"1198","SPBC16H5.03c"
"1199","SPBC16H5.04"
"1200","SPBC16H5.05c"
"1201","SPBC16H5.06"
"1202","SPBC16H5.07c"
"1203","SPBC16H5.08c"
"1204","SPBC16H5.10c"
"1205","SPBC16H5.11c"
"1206","SPBC16H5.12c"
"1207","SPBC1703.02"
"1208","SPBC1703.03c"
"1209","SPBC1703.05"
"1210","SPBC1703.07"
"1211","SPBC1703.10"
"1212","SPBC1703.11"
"1213","SPBC1703.12"
"1214","SPBC1703.13c"
"1215","SPBC1703.14c"
"1216","SPBC1703.15c"
"1217","SPBC1706.01"
"1218","SPBC1709.02c"
"1219","SPBC1709.03"
"1220","SPBC1709.04c"
"1221","SPBC1709.05"
"1222","SPBC1709.06"
"1223","SPBC1709.07"
"1224","SPBC1709.08"
"1225","SPBC1709.15c"
"1226","SPBC1709.17"
"1227","SPBC1709.18"
"1228","SPBC1709.19c"
"1229","SPBC1711.03"
"1230","SPBC1711.04"
"1231","SPBC1711.05"
"1232","SPBC1711.06"
"1233","SPBC1711.07"
"1234","SPBC1711.08"
"1235","SPBC1711.09c"
"1236","SPBC1711.10c"
"1237","SPBC1711.12"
"1238","SPBC1711.13"
"1239","SPBC1711.16"
"1240","SPBC1711.18"
"1241","SPBC1718.03"
"1242","SPBC1718.04"
"1243","SPBC1718.05"
"1244","SPBC1734.01c"
"1245","SPBC1734.03"
"1246","SPBC1734.04"
"1247","SPBC1734.08"
"1248","SPBC1734.13"
"1249","SPBC1734.14c"
"1250","SPBC1734.15"
"1251","SPBC1734.16c"
"1252","SPBC1773.01"
"1253","SPBC1773.02c"
"1254","SPBC1773.03c"
"1255","SPBC1773.04"
"1256","SPBC1773.07c"
"1257","SPBC1773.10c"
"1258","SPBC1773.14"
"1259","SPBC1778.01c"
"1260","SPBC1778.03c"
"1261","SPBC1778.05c"
"1262","SPBC1778.06c"
"1263","SPBC1778.07"
"1264","SPBC1778.08c"
"1265","SPBC1778.10c"
"1266","SPBC17A3.01c"
"1267","SPBC17A3.04c"
"1268","SPBC17A3.05c"
"1269","SPBC17A3.07"
"1270","SPBC17D1.02"
"1271","SPBC17D1.03c"
"1272","SPBC17D1.06"
"1273","SPBC17D1.17"
"1274","SPBC17D11.05"
"1275","SPBC17D11.06"
"1276","SPBC17D11.07c"
"1277","SPBC17D11.08"
"1278","SPBC17G9.02c"
"1279","SPBC17G9.03c"
"1280","SPBC17G9.04c"
"1281","SPBC17G9.05"
"1282","SPBC17G9.06c"
"1283","SPBC17G9.07"
"1284","SPBC17G9.08c"
"1285","SPBC17G9.09"
"1286","SPBC17G9.11c"
"1287","SPBC1815.01"
"1288","SPBC1826.01c"
"1289","SPBC1861.03"
"1290","SPBC1861.05"
"1291","SPBC1861.08c"
"1292","SPBC1861.09"
"1293","SPBC18E5.01"
"1294","SPBC18E5.02c"
"1295","SPBC18E5.04"
"1296","SPBC18E5.06"
"1297","SPBC18E5.07"
"1298","SPBC18E5.11c"
"1299","SPBC18E5.12c"
"1300","SPBC18H10.02"
"1301","SPBC18H10.03"
"1302","SPBC18H10.04c"
"1303","SPBC18H10.12c"
"1304","SPBC18H10.14"
"1305","SPBC18H10.17c"
"1306","SPBC18H10.20c"
"1307","SPBC1921.01c"
"1308","SPBC1921.03c"
"1309","SPBC1921.05"
"1310","SPBC1921.07c"
"1311","SPBC19C2.07"
"1312","SPBC19C2.10"
"1313","SPBC19C2.12"
"1314","SPBC19C2.14"
"1315","SPBC19C7.06"
"1316","SPBC19C7.10"
"1317","SPBC19C7.12c"
"1318","SPBC19F5.02c"
"1319","SPBC19F5.03"
"1320","SPBC19F5.04"
"1321","SPBC19F5.05c"
"1322","SPBC19F8.02"
"1323","SPBC19F8.03c"
"1324","SPBC19F8.05"
"1325","SPBC19F8.07"
"1326","SPBC19G7.01c"
"1327","SPBC19G7.05c"
"1328","SPBC19G7.07c"
"1329","SPBC19G7.10c"
"1330","SPBC19G7.15"
"1331","SPBC19G7.17"
"1332","SPBC19G7.19"
"1333","SPBC1A4.02c"
"1334","SPBC1A4.03c"
"1335","SPBC1A4.05"
"1336","SPBC1A4.07c"
"1337","SPBC1A4.08c"
"1338","SPBC1A4.09"
"1339","SPBC1A4.10c"
"1340","SPBC1D7.01"
"1341","SPBC1E8.04"
"1342","SPBC20F10.01"
"1343","SPBC20F10.07"
"1344","SPBC20F10.08c"
"1345","SPBC20F10.09"
"1346","SPBC20F10.10"
"1347","SPBC211.02c"
"1348","SPBC211.03c"
"1349","SPBC211.04c"
"1350","SPBC211.07c"
"1351","SPBC211.08c"
"1352","SPBC215.01"
"1353","SPBC215.02"
"1354","SPBC215.05"
"1355","SPBC215.06c"
"1356","SPBC215.07c"
"1357","SPBC215.08c"
"1358","SPBC215.09c"
"1359","SPBC215.10"
"1360","SPBC215.11c"
"1361","SPBC215.12"
"1362","SPBC215.15"
"1363","SPBC216.03"
"1364","SPBC216.04c"
"1365","SPBC216.07c"
"1366","SPBC21B10.02"
"1367","SPBC21B10.03c"
"1368","SPBC21B10.04c"
"1369","SPBC21B10.07"
"1370","SPBC21B10.08c"
"1371","SPBC21B10.10"
"1372","SPBC21C3.08c"
"1373","SPBC21C3.09c"
"1374","SPBC21C3.12c"
"1375","SPBC21C3.13"
"1376","SPBC21C3.14c"
"1377","SPBC21C3.15c"
"1378","SPBC21C3.16c"
"1379","SPBC21C3.19"
"1380","SPBC21D10.09c"
"1381","SPBC21D10.11c"
"1382","SPBC21D10.12"
"1383","SPBC21H7.02"
"1384","SPBC21H7.03c"
"1385","SPBC21H7.04"
"1386","SPBC21H7.07c"
"1387","SPBC23E6.01c"
"1388","SPBC23E6.04c"
"1389","SPBC23E6.05"
"1390","SPBC23E6.06c"
"1391","SPBC23E6.07c"
"1392","SPBC23E6.09"
"1393","SPBC23G7.07c"
"1394","SPBC23G7.08c"
"1395","SPBC23G7.12c"
"1396","SPBC23G7.15c"
"1397","SPBC23G7.16"
"1398","SPBC244.02c"
"1399","SPBC24C6.03"
"1400","SPBC24C6.04"
"1401","SPBC24C6.05"
"1402","SPBC24C6.11"
"1403","SPBC25B2.01"
"1404","SPBC25B2.05"
"1405","SPBC25B2.06c"
"1406","SPBC25B2.09c"
"1407","SPBC25D12.02c"
"1408","SPBC25D12.03c"
"1409","SPBC25D12.05"
"1410","SPBC25H2.02"
"1411","SPBC25H2.05"
"1412","SPBC25H2.06c"
"1413","SPBC25H2.07"
"1414","SPBC25H2.09"
"1415","SPBC25H2.12c"
"1416","SPBC25H2.16c"
"1417","SPBC26H8.01"
"1418","SPBC26H8.02c"
"1419","SPBC26H8.03"
"1420","SPBC26H8.07c"
"1421","SPBC26H8.08c"
"1422","SPBC26H8.10"
"1423","SPBC26H8.11c"
"1424","SPBC26H8.12"
"1425","SPBC26H8.14c"
"1426","SPBC27.01c"
"1427","SPBC27.08c"
"1428","SPBC27B12.03c"
"1429","SPBC27B12.08"
"1430","SPBC27B12.10c"
"1431","SPBC27B12.13"
"1432","SPBC28E12.05"
"1433","SPBC28E12.06c"
"1434","SPBC28F2.02"
"1435","SPBC28F2.03"
"1436","SPBC28F2.08c"
"1437","SPBC28F2.09"
"1438","SPBC28F2.11"
"1439","SPBC28F2.12"
"1440","SPBC29A10.01"
"1441","SPBC29A10.04"
"1442","SPBC29A10.06c"
"1443","SPBC29A10.07"
"1444","SPBC29A10.10c"
"1445","SPBC29A10.12"
"1446","SPBC29A10.13"
"1447","SPBC29A10.16c"
"1448","SPBC29A10.17"
"1449","SPBC29A3.01"
"1450","SPBC29A3.02c"
"1451","SPBC29A3.04"
"1452","SPBC29A3.06"
"1453","SPBC29A3.07c"
"1454","SPBC29A3.09c"
"1455","SPBC29A3.10c"
"1456","SPBC29A3.12"
"1457","SPBC29A3.15c"
"1458","SPBC29A3.18"
"1459","SPBC29B5.01"
"1460","SPBC29B5.02c"
"1461","SPBC29B5.03c"
"1462","SPBC29B5.04c"
"1463","SPBC2A9.05c"
"1464","SPBC2A9.06c"
"1465","SPBC2A9.08c"
"1466","SPBC2A9.09"
"1467","SPBC2D10.03c"
"1468","SPBC2D10.05"
"1469","SPBC2D10.08c"
"1470","SPBC2D10.09"
"1471","SPBC2D10.10c"
"1472","SPBC2D10.11c"
"1473","SPBC2D10.12"
"1474","SPBC2D10.14c"
"1475","SPBC2D10.20"
"1476","SPBC2F12.02c"
"1477","SPBC2F12.04"
"1478","SPBC2F12.05c"
"1479","SPBC2F12.08c"
"1480","SPBC2F12.10"
"1481","SPBC2F12.14c"
"1482","SPBC2G2.01c"
"1483","SPBC2G2.04c"
"1484","SPBC2G2.08"
"1485","SPBC2G2.12"
"1486","SPBC2G2.13c"
"1487","SPBC2G2.16"
"1488","SPBC2G5.01"
"1489","SPBC2G5.04c"
"1490","SPBC2G5.06c"
"1491","SPBC30B4.05"
"1492","SPBC30D10.02"
"1493","SPBC30D10.03c"
"1494","SPBC30D10.05c"
"1495","SPBC30D10.07c"
"1496","SPBC30D10.08"
"1497","SPBC30D10.14"
"1498","SPBC30D10.16"
"1499","SPBC30D10.17c"
"1500","SPBC30D10.18c"
"1501","SPBC31A8.01c"
"1502","SPBC31E1.02c"
"1503","SPBC31E1.06"
"1504","SPBC31F10.06c"
"1505","SPBC31F10.07"
"1506","SPBC31F10.11c"
"1507","SPBC31F10.12"
"1508","SPBC31F10.15c"
"1509","SPBC31F10.16"
"1510","SPBC32F12.01c"
"1511","SPBC32F12.02"
"1512","SPBC32F12.03c"
"1513","SPBC32F12.04"
"1514","SPBC32F12.11"
"1515","SPBC32F12.12c"
"1516","SPBC32H8.02c"
"1517","SPBC32H8.03"
"1518","SPBC32H8.04c"
"1519","SPBC32H8.05"
"1520","SPBC32H8.12c"
"1521","SPBC336.02"
"1522","SPBC336.10c"
"1523","SPBC336.12c"
"1524","SPBC336.14c"
"1525","SPBC337.03"
"1526","SPBC337.05c"
"1527","SPBC337.09"
"1528","SPBC337.10c"
"1529","SPBC337.14"
"1530","SPBC337.15c"
"1531","SPBC337.16"
"1532","SPBC342.02"
"1533","SPBC342.04"
"1534","SPBC354.01"
"1535","SPBC354.02c"
"1536","SPBC354.04"
"1537","SPBC354.06"
"1538","SPBC354.07c"
"1539","SPBC354.10"
"1540","SPBC354.14c"
"1541","SPBC359.03c"
"1542","SPBC36.03c"
"1543","SPBC36.04"
"1544","SPBC36.05c"
"1545","SPBC36.07"
"1546","SPBC36.08c"
"1547","SPBC365.01"
"1548","SPBC365.04c"
"1549","SPBC365.06"
"1550","SPBC365.10"
"1551","SPBC365.12c"
"1552","SPBC365.13c"
"1553","SPBC365.14c"
"1554","SPBC365.16"
"1555","SPBC36B7.02"
"1556","SPBC36B7.03"
"1557","SPBC36B7.07"
"1558","SPBC36B7.08c"
"1559","SPBC3B8.01c"
"1560","SPBC3B8.03"
"1561","SPBC3B8.04c"
"1562","SPBC3B8.07c"
"1563","SPBC3B8.08"
"1564","SPBC3B8.09"
"1565","SPBC3B9.01"
"1566","SPBC3B9.03"
"1567","SPBC3B9.05"
"1568","SPBC3B9.06c"
"1569","SPBC3B9.07c"
"1570","SPBC3B9.10"
"1571","SPBC3B9.14c"
"1572","SPBC3B9.17"
"1573","SPBC3B9.18c"
"1574","SPBC3B9.19"
"1575","SPBC3D6.02"
"1576","SPBC3D6.06c"
"1577","SPBC3D6.08c"
"1578","SPBC3D6.12"
"1579","SPBC3D6.13c"
"1580","SPBC3E7.02c"
"1581","SPBC3E7.05c"
"1582","SPBC3E7.06c"
"1583","SPBC3E7.07c"
"1584","SPBC3E7.10"
"1585","SPBC3E7.11c"
"1586","SPBC3E7.13c"
"1587","SPBC3E7.14"
"1588","SPBC3E7.15c"
"1589","SPBC3E7.16c"
"1590","SPBC3F6.01c"
"1591","SPBC3F6.02c"
"1592","SPBC3F6.03"
"1593","SPBC3F6.04c"
"1594","SPBC3F6.05"
"1595","SPBC3H7.01"
"1596","SPBC3H7.05c"
"1597","SPBC3H7.07c"
"1598","SPBC3H7.11"
"1599","SPBC3H7.15"
"1600","SPBC4.02c"
"1601","SPBC4.03c"
"1602","SPBC4.04c"
"1603","SPBC4.05"
"1604","SPBC4.07c"
"1605","SPBC405.01"
"1606","SPBC405.04c"
"1607","SPBC409.05"
"1608","SPBC409.06"
"1609","SPBC409.07c"
"1610","SPBC409.10"
"1611","SPBC409.13"
"1612","SPBC409.15"
"1613","SPBC409.18"
"1614","SPBC409.20c"
"1615","SPBC409.21"
"1616","SPBC418.01c"
"1617","SPBC428.01c"
"1618","SPBC428.02c"
"1619","SPBC428.03c"
"1620","SPBC428.04"
"1621","SPBC428.05c"
"1622","SPBC428.11"
"1623","SPBC428.14"
"1624","SPBC428.15"
"1625","SPBC428.16c"
"1626","SPBC428.19c"
"1627","SPBC460.02c"
"1628","SPBC460.05"
"1629","SPBC4B4.01c"
"1630","SPBC4B4.02c"
"1631","SPBC4B4.03"
"1632","SPBC4B4.04"
"1633","SPBC4B4.07c"
"1634","SPBC4B4.08"
"1635","SPBC4B4.09"
"1636","SPBC4C3.03"
"1637","SPBC4C3.05c"
"1638","SPBC4C3.06"
"1639","SPBC4C3.07"
"1640","SPBC4C3.10c"
"1641","SPBC4F6.04"
"1642","SPBC4F6.05c"
"1643","SPBC4F6.10"
"1644","SPBC4F6.13c"
"1645","SPBC4F6.14"
"1646","SPBC4F6.16c"
"1647","SPBC4F6.17c"
"1648","SPBC4F6.18c"
"1649","SPBC530.03c"
"1650","SPBC530.07c"
"1651","SPBC530.10c"
"1652","SPBC530.11c"
"1653","SPBC530.12c"
"1654","SPBC543.02c"
"1655","SPBC543.06c"
"1656","SPBC543.07"
"1657","SPBC543.08"
"1658","SPBC543.09"
"1659","SPBC543.10"
"1660","SPBC557.02c"
"1661","SPBC557.03c"
"1662","SPBC557.04"
"1663","SPBC56F2.02"
"1664","SPBC56F2.04"
"1665","SPBC56F2.08c"
"1666","SPBC56F2.10c"
"1667","SPBC56F2.11"
"1668","SPBC56F2.14"
"1669","SPBC56F2.15"
"1670","SPBC577.02"
"1671","SPBC577.03c"
"1672","SPBC577.04"
"1673","SPBC577.06c"
"1674","SPBC577.08c"
"1675","SPBC577.10"
"1676","SPBC577.12"
"1677","SPBC577.15c"
"1678","SPBC582.03"
"1679","SPBC582.07c"
"1680","SPBC582.08"
"1681","SPBC582.09"
"1682","SPBC609.05"
"1683","SPBC646.02"
"1684","SPBC646.04"
"1685","SPBC646.05c"
"1686","SPBC646.07c"
"1687","SPBC646.08c"
"1688","SPBC646.09c"
"1689","SPBC646.10c"
"1690","SPBC646.11"
"1691","SPBC646.12c"
"1692","SPBC646.13"
"1693","SPBC646.15c"
"1694","SPBC646.16"
"1695","SPBC649.02"
"1696","SPBC651.01c"
"1697","SPBC651.06"
"1698","SPBC651.08c"
"1699","SPBC651.09c"
"1700","SPBC651.11c"
"1701","SPBC660.07"
"1702","SPBC660.11"
"1703","SPBC660.12c"
"1704","SPBC660.13c"
"1705","SPBC660.15"
"1706","SPBC685.06"
"1707","SPBC685.07c"
"1708","SPBC691.02c"
"1709","SPBC691.03c"
"1710","SPBC691.04"
"1711","SPBC691.05c"
"1712","SPBC6B1.02"
"1713","SPBC6B1.06c"
"1714","SPBC6B1.07"
"1715","SPBC6B1.08c"
"1716","SPBC6B1.10"
"1717","SPBC713.02c"
"1718","SPBC713.03"
"1719","SPBC713.04c"
"1720","SPBC713.07c"
"1721","SPBC713.09"
"1722","SPBC713.10"
"1723","SPBC725.01"
"1724","SPBC725.03"
"1725","SPBC725.04"
"1726","SPBC725.08"
"1727","SPBC725.09c"
"1728","SPBC725.15"
"1729","SPBC776.02c"
"1730","SPBC776.03"
"1731","SPBC776.04"
"1732","SPBC776.05"
"1733","SPBC776.07"
"1734","SPBC776.08c"
"1735","SPBC776.09"
"1736","SPBC776.10c"
"1737","SPBC776.11"
"1738","SPBC776.14"
"1739","SPBC776.15c"
"1740","SPBC800.04c"
"1741","SPBC800.05c"
"1742","SPBC800.06"
"1743","SPBC800.07c"
"1744","SPBC800.08"
"1745","SPBC800.09"
"1746","SPBC800.10c"
"1747","SPBC800.12c"
"1748","SPBC83.01"
"1749","SPBC83.05"
"1750","SPBC83.08"
"1751","SPBC83.14c"
"1752","SPBC83.15"
"1753","SPBC83.17"
"1754","SPBC839.03c"
"1755","SPBC839.05c"
"1756","SPBC839.10"
"1757","SPBC839.12"
"1758","SPBC839.13c"
"1759","SPBC839.16"
"1760","SPBC839.17c"
"1761","SPBC887.01"
"1762","SPBC887.04c"
"1763","SPBC887.07"
"1764","SPBC887.10"
"1765","SPBC887.12"
"1766","SPBC887.15c"
"1767","SPBC887.17"
"1768","SPBC887.18c"
"1769","SPBC887.22"
"1770","SPBC8D2.01"
"1771","SPBC8D2.06"
"1772","SPBC8D2.10c"
"1773","SPBC8D2.12c"
"1774","SPBC8D2.15"
"1775","SPBC8D2.17"
"1776","SPBC8D2.18c"
"1777","SPBC8D2.20c"
"1778","SPBC8E4.01c"
"1779","SPBC8E4.04"
"1780","SPBC902.04"
"1781","SPBC902.05c"
"1782","SPBC947.02"
"1783","SPBC947.03c"
"1784","SPBC947.04"
"1785","SPBC947.15c"
"1786","SPBC9B6.04c"
"1787","SPBC9B6.05c"
"1788","SPBC9B6.07"
"1789","SPBC9B6.08"
"1790","SPBC9B6.09c"
"1791","SPBC9B6.10"
"1792","SPBC9B6.11c"
"1793","SPBP16F5.05c"
"1794","SPBP16F5.07"
"1795","SPBP16F5.08c"
"1796","SPBP18G5.02"
"1797","SPBP18G5.03"
"1798","SPBP19A11.01"
"1799","SPBP19A11.03c"
"1800","SPBP22H7.02c"
"1801","SPBP22H7.07"
"1802","SPBP22H7.08"
"1803","SPBP23A10.02"
"1804","SPBP23A10.03c"
"1805","SPBP23A10.05"
"1806","SPBP23A10.07"
"1807","SPBP23A10.08"
"1808","SPBP23A10.11c"
"1809","SPBP23A10.14c"
"1810","SPBP23A10.15c"
"1811","SPBP23A10.16"
"1812","SPBP35G2.07"
"1813","SPBP35G2.14"
"1814","SPBP4G3.02"
"1815","SPBP4H10.04"
"1816","SPBP4H10.05c"
"1817","SPBP4H10.06c"
"1818","SPBP4H10.11c"
"1819","SPBP4H10.12"
"1820","SPBP4H10.13"
"1821","SPBP4H10.15"
"1822","SPBP4H10.17c"
"1823","SPBP4H10.18c"
"1824","SPBP4H10.20"
"1825","SPBP8B7.05c"
"1826","SPBP8B7.06"
"1827","SPBP8B7.08c"
"1828","SPBP8B7.09c"
"1829","SPBP8B7.11"
"1830","SPBP8B7.15c"
"1831","SPBP8B7.16c"
"1832","SPBP8B7.17c"
"1833","SPBP8B7.18c"
"1834","SPBP8B7.19"
"1835","SPBP8B7.20c"
"1836","SPBP8B7.21"
"1837","SPBP8B7.25"
"1838","SPBP8B7.26"
"1839","SPBP8B7.29"
"1840","SPBP8B7.31"
"1841","SPBPB21E7.04c"
"1842","SPBPB2B2.09c"
"1843","SPBPB7E8.02"
"1844","SPBPJ4664.04"
"1845","SPBPJ4664.05"
"1846","SPBPJ4664.06"
"1847","SPCC1020.01c"
"1848","SPCC1020.04c"
"1849","SPCC1020.06c"
"1850","SPCC1020.07"
"1851","SPCC1020.08"
"1852","SPCC10H11.01"
"1853","SPCC1183.01"
"1854","SPCC1183.02"
"1855","SPCC1183.03c"
"1856","SPCC1183.07"
"1857","SPCC1183.08c"
"1858","SPCC1183.11"
"1859","SPCC11E10.01"
"1860","SPCC11E10.05c"
"1861","SPCC11E10.07c"
"1862","SPCC1223.03c"
"1863","SPCC1223.05c"
"1864","SPCC1223.07c"
"1865","SPCC1223.08c"
"1866","SPCC1223.09"
"1867","SPCC1223.11"
"1868","SPCC1223.14"
"1869","SPCC1235.01"
"1870","SPCC1235.02"
"1871","SPCC1235.04c"
"1872","SPCC1235.05c"
"1873","SPCC1235.06"
"1874","SPCC1235.11"
"1875","SPCC1235.12c"
"1876","SPCC1235.14"
"1877","SPCC1235.15"
"1878","SPCC1259.02c"
"1879","SPCC1259.03"
"1880","SPCC1259.05c"
"1881","SPCC1259.07"
"1882","SPCC1259.09c"
"1883","SPCC1259.11c"
"1884","SPCC1259.15c"
"1885","SPCC126.03"
"1886","SPCC126.05c"
"1887","SPCC126.08c"
"1888","SPCC126.10"
"1889","SPCC126.11c"
"1890","SPCC126.12"
"1891","SPCC126.15c"
"1892","SPCC1281.01"
"1893","SPCC1281.03c"
"1894","SPCC1281.05"
"1895","SPCC1281.06c"
"1896","SPCC1281.07c"
"1897","SPCC132.01c"
"1898","SPCC132.04c"
"1899","SPCC1322.05c"
"1900","SPCC1322.06"
"1901","SPCC1322.08"
"1902","SPCC1322.09"
"1903","SPCC1322.14c"
"1904","SPCC1322.16"
"1905","SPCC1393.03"
"1906","SPCC1393.09c"
"1907","SPCC1393.13"
"1908","SPCC13B11.01"
"1909","SPCC1442.04c"
"1910","SPCC1442.05c"
"1911","SPCC1442.06"
"1912","SPCC1442.08c"
"1913","SPCC1442.09"
"1914","SPCC1442.10c"
"1915","SPCC1442.14c"
"1916","SPCC1442.16c"
"1917","SPCC1450.02"
"1918","SPCC1450.04"
"1919","SPCC1450.12"
"1920","SPCC1450.13c"
"1921","SPCC1450.14c"
"1922","SPCC1450.15"
"1923","SPCC1494.04c"
"1924","SPCC1494.05c"
"1925","SPCC1494.06c"
"1926","SPCC1494.07"
"1927","SPCC14G10.01"
"1928","SPCC14G10.02"
"1929","SPCC14G10.04"
"1930","SPCC162.02c"
"1931","SPCC162.03"
"1932","SPCC162.05"
"1933","SPCC162.06c"
"1934","SPCC162.07"
"1935","SPCC162.08c"
"1936","SPCC162.09c"
"1937","SPCC162.11c"
"1938","SPCC162.12"
